date_notif,zone_sante,province,sexe_norm,tranche_age,n_alertes,n_suspects,n_suspects_lien_epi,n_preleves,n_recus,n_analyses,n_echantillons_valides,n_confirmes,n_deces,n_deces_suspects,n_deces_confirmes,n_gueri
2026-01-01T00:00:00.000000,ks Bulape,ks Kasai,Masculin,25-44 ans,1,1,0,0,0,0,0,0,0,0,0,0
2026-03-06T00:00:00.000000,eq Djombo,eq Equateur,Feminin,0-4 ans,1,0,0,0,0,0,0,0,0,0,0,0
2026-03-08T00:00:00.000000,ks Bulape,ks Kasai,Masculin,25-44 ans,1,1,0,1,1,1,0,0,1,1,0,0
2026-03-10T00:00:00.000000,ks Bulape,ks Kasai,Feminin,25-44 ans,1,1,1,1,0,0,0,0,1,1,0,0
2026-04-06T00:00:00.000000,ks Mweka,ks Kasai,Feminin,15-24 ans,1,0,0,0,0,0,0,0,0,0,0,0
2026-04-24T00:00:00.000000,Rwampara,Ituri,Masculin,25-44 ans,1,1,0,0,0,0,0,0,1,1,0,0
2026-04-25T00:00:00.000000,Rwampara,Ituri,Feminin,25-44 ans,1,1,0,0,0,0,0,0,0,0,0,0
2026-04-26T00:00:00.000000,Rwampara,Ituri,Feminin,45-64 ans,1,1,0,0,0,0,0,0,1,1,0,0
2026-04-27T00:00:00.000000,Rwampara,Ituri,Feminin,15-24 ans,1,1,0,1,1,1,1,1,0,0,0,0
2026-04-27T00:00:00.000000,nk Kibua,nk Nord Kivu,Masculin,15-24 ans,1,0,0,0,0,0,0,0,0,0,0,1
2026-04-28T00:00:00.000000,Rwampara,Ituri,Feminin,25-44 ans,1,1,0,1,1,1,0,0,0,0,0,0
2026-04-28T00:00:00.000000,nk Nyiragongo,nk Nord Kivu,Masculin,15-24 ans,1,0,0,0,0,0,0,0,0,0,0,0
2026-05-01T00:00:00.000000,Bunia,Ituri,Feminin,25-44 ans,1,1,0,0,0,0,0,0,0,0,0,0
2026-05-01T00:00:00.000000,Rwampara,Ituri,Feminin,25-44 ans,2,2,0,0,0,0,0,0,2,2,0,0
2026-05-02T00:00:00.000000,Rwampara,Ituri,Feminin,25-44 ans,3,3,0,2,2,2,1,1,1,1,0,0
2026-05-03T00:00:00.000000,Rwampara,Ituri,Feminin,25-44 ans,2,2,0,2,2,2,0,0,0,0,0,0
2026-05-03T00:00:00.000000,Rwampara,Ituri,Masculin,0-4 ans,1,1,0,1,1,1,1,1,1,0,1,0
2026-05-03T00:00:00.000000,Rwampara,Ituri,Masculin,15-24 ans,1,1,1,1,1,1,1,1,1,0,1,0
2026-05-03T00:00:00.000000,Rwampara,Ituri,Masculin,25-44 ans,1,1,1,1,1,1,1,1,0,0,0,0
2026-05-03T00:00:00.000000,Rwampara,Ituri,Masculin,45-64 ans,1,1,0,1,1,1,1,1,0,0,0,0
2026-05-05T00:00:00.000000,Rwampara,Ituri,Feminin,25-44 ans,1,1,0,1,1,1,1,1,1,0,1,0
2026-05-05T00:00:00.000000,Rwampara,Ituri,Masculin,0-4 ans,1,1,0,0,0,0,0,0,1,1,0,0
2026-05-05T00:00:00.000000,Rwampara,Ituri,Masculin,65+ ans,1,1,0,0,0,0,0,0,1,1,0,0
2026-05-06T00:00:00.000000,Rwampara,Ituri,Feminin,25-44 ans,1,1,0,0,0,0,0,0,1,1,0,0
2026-05-06T00:00:00.000000,Rwampara,Ituri,Feminin,45-64 ans,1,1,0,0,0,0,0,0,0,0,0,0
2026-05-06T00:00:00.000000,Rwampara,Ituri,Masculin,0-4 ans,1,1,0,0,0,0,0,0,1,1,0,0
2026-05-06T00:00:00.000000,nk Nyiragongo,nk Nord Kivu,Masculin,15-24 ans,1,0,0,0,0,0,0,0,0,0,0,0
2026-05-07T00:00:00.000000,Rwampara,Ituri,Feminin,65+ ans,1,1,0,1,1,1,1,1,0,0,0,0
2026-05-07T00:00:00.000000,Rwampara,Ituri,Masculin,45-64 ans,1,1,1,0,0,0,0,0,1,1,0,0
2026-05-07T00:00:00.000000,nk Katwa,nk Nord Kivu,Feminin,25-44 ans,1,1,0,1,1,1,1,1,1,0,1,0
2026-05-08T00:00:00.000000,Rwampara,Ituri,Masculin,65+ ans,1,1,0,0,0,0,0,0,1,1,0,0
2026-05-08T00:00:00.000000,nk Katwa,nk Nord Kivu,Masculin,15-24 ans,1,1,0,1,1,1,1,1,0,0,0,0
2026-05-09T00:00:00.000000,Rwampara,Ituri,Masculin,5-14 ans,1,1,0,0,0,0,0,0,1,1,0,0
2026-05-10T00:00:00.000000,Rwampara,Ituri,Feminin,0-4 ans,1,1,0,0,0,0,0,0,1,1,0,0
2026-05-10T00:00:00.000000,Rwampara,Ituri,Feminin,25-44 ans,2,2,0,0,0,0,0,0,2,2,0,0
2026-05-10T00:00:00.000000,Rwampara,Ituri,Masculin,0-4 ans,2,2,0,0,0,0,0,0,2,2,0,0
2026-05-10T00:00:00.000000,Rwampara,Ituri,Masculin,25-44 ans,1,1,0,0,0,0,0,0,1,1,0,0
2026-05-10T00:00:00.000000,Rwampara,Ituri,Masculin,45-64 ans,1,1,0,1,0,0,0,0,0,0,0,0
2026-05-10T00:00:00.000000,Rwampara,Ituri,Masculin,65+ ans,1,1,0,0,0,0,0,0,1,1,0,0
2026-05-11T00:00:00.000000,Rwampara,Ituri,Feminin,0-4 ans,1,1,0,0,0,0,0,0,1,1,0,0
2026-05-11T00:00:00.000000,Rwampara,Ituri,Masculin,65+ ans,1,1,0,0,0,0,0,0,1,1,0,0
2026-05-12T00:00:00.000000,Nyankunde,Ituri,Feminin,25-44 ans,1,1,1,0,0,0,0,0,1,1,0,0
2026-05-12T00:00:00.000000,Rwampara,Ituri,Feminin,45-64 ans,1,1,0,0,0,0,0,0,0,0,0,0
2026-05-12T00:00:00.000000,Rwampara,Ituri,Feminin,65+ ans,1,1,1,0,0,0,0,0,1,1,0,0
2026-05-12T00:00:00.000000,Rwampara,Ituri,Masculin,45-64 ans,1,1,0,0,0,0,0,0,0,0,0,0
2026-05-13T00:00:00.000000,Bunia,Ituri,Masculin,15-24 ans,2,2,0,1,1,1,1,1,0,0,0,0
2026-05-13T00:00:00.000000,Mongbwalu,Ituri,Feminin,25-44 ans,1,1,0,1,1,1,1,1,0,0,0,0
2026-05-13T00:00:00.000000,Mongbwalu,Ituri,Feminin,5-14 ans,1,1,0,1,1,1,1,1,1,0,1,0
2026-05-13T00:00:00.000000,Mongbwalu,Ituri,Masculin,15-24 ans,1,1,0,1,1,1,1,0,0,0,0,0
2026-05-13T00:00:00.000000,Mongbwalu,Ituri,Masculin,45-64 ans,2,2,0,2,2,2,2,2,0,0,0,0
2026-05-13T00:00:00.000000,Rwampara,Ituri,Feminin,45-64 ans,2,2,1,0,0,0,0,0,1,1,0,0
2026-05-13T00:00:00.000000,Rwampara,Ituri,Masculin,25-44 ans,1,1,1,0,0,0,0,0,1,1,0,0
2026-05-13T00:00:00.000000,Rwampara,Ituri,Masculin,45-64 ans,1,1,0,1,1,1,1,1,0,0,0,0
2026-05-14T00:00:00.000000,Bambu,Ituri,Feminin,45-64 ans,1,1,1,0,0,0,0,0,0,0,0,0
2026-05-14T00:00:00.000000,Bambu,Ituri,Feminin,65+ ans,1,1,0,1,1,1,1,0,0,0,0,0
2026-05-14T00:00:00.000000,Mongbwalu,Ituri,Feminin,15-24 ans,1,1,0,1,1,1,1,1,0,0,0,0
2026-05-14T00:00:00.000000,Rwampara,Ituri,Feminin,45-64 ans,1,1,0,0,0,0,0,0,1,1,0,0
2026-05-14T00:00:00.000000,Rwampara,Ituri,Masculin,15-24 ans,1,1,0,1,1,1,1,0,0,0,0,0
2026-05-14T00:00:00.000000,Rwampara,Ituri,Masculin,25-44 ans,3,3,0,2,2,2,1,1,1,1,0,0
